city,study_year,reporting_year,scope_1_emissions,scope_1_units,emissions_year,gases_included,change_from_last_year,scope_2_emissions,total_scope_2_emissions,s1_lower_bound,s1_upper_bound,s1_mean,tot_lower_bound,tot_upper_bound,tot_mean,scope_fractions,CO2_emissions_per_capita,lat_long,latitude,longitude,country,region,population,population_year,population_1950,population_1990,population_2010,growth_rate_1950_2010,growth_rate_1990_2010,city_area,population_density,average_altitude_m,average_annual_temperature_celcius,gdp,gdp_unit,income_per_capita,gdp-ppp,ngdp,ngdp_capita_usd,total_consumption_capita,CO2_energy_capita,diesel_price_usd,gas_price_usd,percent_urban,Water bounded (GEA+),Other bounded (GEA+),mean_travel_time_minutes,deisel_price_2014_usd,gas_price_2014_usd,household_size,congestion_rank,peak_hours_spent_in_congestion,average_congestion_rate,congestion_rank,congestion_level,congestion_change,morning_peak,evening_peak,economy_rank,environment_rank,governance_rank_iese,human_capital_rank_iese,international_impact_rank,mobility_and_transport_rank_iese,public_management_rank_iese,social_cohesion_rank_iese,technology_rank_iese,urban_planning_rank_iese,exports, ,natgas_export_production_ratio,ch4_waste_capita,ch4_waste_plus_natgas_capita
Amman,,2016,3322603,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,3892804,7215407,2267715.939,2744820.626,2506268.282,6160519.939,6637624.626,6399072.282,1,,"(31.945367, 35.928372)",31.95,35.932778,Jordan,"North Africa, Middle East, West Asia",4007526,2016,,,,,,1680,,900,17,10697000000,JOD     Jordanian Dinar,,,,,,,,,,,,50.29,0.82,1.27,5.2,,,,,,,,,171,156,170,174,154,180,66,92,167,169,0,1,0,0.005724877,0.010452203
Anshan,,,3293364.546,tCO2,2010,,,,,,,,,,,,1.344745821,,41.11666667,122.9833333,China,East Asia,1529850,,,,,,,624,,,,,,36028.53,0.001344746,20,13157.89474,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Brussels,,,3293000,tCO2-eq,2011,,,,,,,,,,,,,,50.85034,4.35171,Belgium,Europe,1175173,2017,,,,,,161.38,6506.382451,,,,,,254.327,,,86.88,,1.34,1.5,97.292,0,,,1.69,1.9,,71,41,12.30%,37,0.38,0.03,71%,77%,49,89,34,68,30,30,84,47,45,53,,,,,
Xiamen,,,3275065.5,tCO2,2010,,,,,,,,,,,,1.05,,24.47983611,118.0894194,China,East Asia,3531347,2010,,,,,,1699.39,2100,,,,,40282.94,0.00105,30,8496.17672,103.2476465,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Salvador,,2016,3242166,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,,366395,3698964,1878348.212,2013154.978,1945751.595,2335146.212,2469952.978,2402549.595,0.975559914,,"(-12.97304, -38.502304)",-12.975,-38.476667,Brazil,Latin America & Caribbean,2920000,2016,,,,,,693,,8,26,4745,,,38.469,49,13710.12871,,,,,,,,33.9,1.02,1.27,3.098463477,52,46,17.50%,28,0.4,-0.03,63%,70%,174,101,148,110,132,66,106,155,131,121,11700000000,17030000000,0.69,0.015120343,0.020419478
Pimpri-Chinchwad,,,3185501,tCO2-eq,2012,,,,,,,,,,,,,,18.6298,73.7997,India,South Asia,1729320,2011,,,,,,171.51,,,,,,,,3.393202083,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,2016,3132786,tCO2-eq,2013,CO2; CH4; N2O,Increased,4253621,7386407,2461491.412,2799648.97,2630570.191,6715112.412,7053269.97,6884191.191,1,,"(38.9071923, -77.0368707)",38.905,-77.016389,USA,North America,681170,2016,,,,,,158.1188895,,,14.7,1.16E+11,USD     US Dollar,,37.174,30.00429,43856.04703,,,,,,,,29.7,0.97,0.86,2.22,,,,,,,,,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Barranquilla,,,3023515,tCO2-eq,2013,,,,,,,,,,,,,,10.987778,-74.788889,Colombia,Latin America & Caribbean,1228271,2017,,,,,,161,,,,,,,,0.011917851,,,,,,,,,,1.04,1.08,,98,37,15.30%,,,,,,,,,,,,,,,,,,,,
Handan,,,3005643.733,tCO2,2010,,,,,,,,,,,,0.754109514,,36.6,114.4833333,China,East Asia,941427,,,,,,,142,,,,,,36975.23,,9,6642.066421,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Baoding,,,2946568.189,tCO2,2010,,,,,,,,,,,,0.678879735,,38.86666667,115.4666667,China,East Asia,1157891,,,,,,,326,,,,,,30710.71,,9,7020.280811,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Minneapolis,2005,2016,2890572,tCO2-eq,2014,CO2; CH4; N2O,Increased,1904136,4794708,2483930.421,2688771.821,2586351.121,4388066.421,4592907.821,4490487.121,1,,"(44.983334, -93.26667)",44.983,-93.266667,USA,North America,413651,2016,996000,2087000,2802000,1.017388474,1.014839316,139.7817603,2502.463172,264,7.9,2.36E+11,USD     US Dollar,,211.398,181,54948.39101,157.3622366,18.28,0.78,0.56,80.731,0,,22.7,0.97,0.86,2.27,81,40,6.90%,166,0.16,0.01,27%,42%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Windhoek,,,2829997,tCO2-eq,2016,,,,,,,,,,,,,,-22.5609,17.065755,Namibia,Africa,325858,2011,,,,,,5133,,,,,,,,,,,,,,,,,,1.12,1.08,,,,,,,,,,,,,,,,,,,,,,,,
Belo Horizonte,,2016,2804787,tCO2-eq,2013,CO2; CH4; N2O,Increased,436925,3241713,1629066.166,1745280.462,1687173.314,2065992.166,2182206.462,2124099.314,0.999999692,,"(-19.916681, -43.934493)",-19.917,-43.933333,Brazil,Latin America & Caribbean,2502557,2014,,,,,,330.9,,900,21,81426708,BRL     Brazilian Real,,84.686,78.5,14496.76824,,,,,,,,34.4,1.02,1.27,3.704304694,69,42,16.20%,99,0.27,0,42%,59%,169,146,145,96,138,117,137,134,156,132,11700000000,17030000000,0.69,0.015120343,0.020419478
"London, ON",,2016,2771000,tCO2-eq,2014,CO2; CH4; N2O,Increased,299000,3070000,1999317.153,2278965.412,2139141.282,2298317.153,2577965.412,2438141.282,1,,"(42.9837, -81.2497)",42.984,-81.2497,Canada,North America,383822,2016,,,,,,420.35,,251,7.9,15400000000,CAD     Canadian Dollar,,,,,,,,,,,,21.1,1.16,1.17,2.9,,,,- ,0.2,0.02,25%,34%,,,,,,,,,,,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Pingtung,,2017,2768427.4,tCO2-eq,2013,CO2; CH4; N2O,Increased,2200856.14,4969246.69,2419158.037,2466038.958,2442598.498,4619977.327,4666858.248,4643417.788,1,,"(22.551976, 120.54876)",22.675,120.491414,Taiwan,East Asia,839001,2016,,,,,,2775.6003,,750,25,,,,,,,,,,,,,,,0.98,0.98,3.06,,,,,,,,,,,,,,,,,,,0,1,0,0.012921381,0.014924653
Hohhot,,,2721836.64,tCO2,2010,,,,,,,,,,,,1.52,,40.81666667,111.65,China,East Asia,1980774,,,,,,,2065.1,125.2960985,,,,,41255.52,0.00152,20,10095.91116,180.4745946,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Curitiba,,2016,2686488,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Increased,349791,3036279,1863428.402,1944783.847,1904106.124,2213219.402,2294574.847,2253897.124,1,,"(-25.431063, -49.264693)",-25.417,-49.25,Brazil,Latin America & Caribbean,1750000,2016,,,,,,434,,935,18,79400000000,BRL     Brazilian Real,,57.654,58,18273.47196,,,1.45,1.68,82.834,0,,32.1,1.02,1.27,3.027353755,129,33,15.10%,144,0.2,0.02,28%,43%,170,124,96,91,115,133,72,124,117,123,11700000000,17030000000,0.69,0.015120343,0.020419478
Kunming,,,2649621.638,tCO2,2010,,,,,,,,,,,,0.610821813,,25.06666667,102.6833333,China,East Asia,4575000,,,,,,,4615,300,,,,,42441.39,0.000610822,21,5923.836389,67.05599422,,1.01,0.99,42.522,1,"Mountains, Lake",,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Lanzhou,,,2649039.261,tCO2,2010,,,,,,,,,,,,0.960298555,,36.03333333,103.8,China,East Asia,2177130,,,,,,,1088,235.8195489,,,,,35041.18,,14,5327.245053,65.42283988,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo City,,,2592942,tCO2-eq,2007,,,,,,,,,,,,,,-32.9833,27.8667,South Africa,Africa,755200,2011,,,,,,2536,304,,,,,,,,,26,,0.95,0.87,59.256,1,,,1.17,1.19,3.4,,,,,,,,,,,,,,,,,,,,,,,
Tucson,,2016,2571089,tCO2-eq,2012,CO2; CH4; N2O,Decreased,4088012,6659101,2041979.708,2308512.925,2175246.317,6129991.708,6396524.925,6263258.317,1,,"(32.2217, -110.9265)",32.222,-110.926389,USA,North America,530706,2016,,,,,,587.1766329,,743,21.6,35717000,USD     US Dollar,,41.216,37,37525.35497,,,,,,,,22.4,0.97,0.86,2.45,717,10,4.00%,138,0.2,0.01,23%,33%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Luoyang,,,2534080.929,tCO2,2010,,,,,,,,,,,,0.877344,,34.66972222,112.4422222,China,East Asia,1926079,,,,,,,810.4,,,,,,31587.96,,12,6230.529595,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Nanchang,,,2484926.25,tCO2,2010,,,,,,,,,,,,0.75,,28.68333333,115.8833333,China,East Asia,2357839,,,,,,,617,656.4839935,,,,,38344.43,0.00075,5,2631.578947,42.58607131,,1.01,0.99,42.522,0,"Mountains, Large River",,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
St Louis,,2016,2481945.42,tCO2-eq,2014,CO2; CH4; N2O; HFCs,Decreased,6153317.9,8703679.12,2163094.771,2323712.417,2243403.594,8384828.471,8545446.117,8465137.294,0.992139439,,"(38.6270025, -90.1994042)",38.627,-90.197778,USA,North America,311404,2016,,,,,,160.3462809,,142,13.9,1.50E+11,USD     US Dollar,,140.584,125,43998.59205,,,,,,,,23.6,0.97,0.86,2.2,329,22,4.30%,,,,,,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
"Windsor, ON",,2016,2475703,tCO2-eq,2014,CO2; CH4; N2O,,6709,2482412,2041727.087,2198994.556,2120360.822,2048436.087,2205703.556,2127069.822,1,,"(42.314937, -83.036363)",42.283,-83,Canada,North America,217188,2016,,,,,,146.32,,190,10.7,12065940000,CAD     Canadian Dollar,,,,,,,,,,,,18.8,1.16,1.17,2.9,789,9,4.40%,,,,,,,,,,,,,,,,77960000000,1.52E+11,0.51,0.046860437,0.101727514
New Orleans,,2016,2419891,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,2138684,4558575,2030814.997,2226807.924,2128811.46,4169498.997,4365491.924,4267495.46,1,,"(29.9511, -90.0715)",29.95,-90.066667,USA,North America,391495,2016,,,,,,438.7961058,,-1,20.9,80278000000,USD     US Dollar,,74.225,61,52270.77978,,,,,,,,23.4,0.97,0.86,2.38,227,26,7.00%,123,0.23,0.01,33%,50%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Vancouver,,2016,2389748,tCO2-eq,2014,CO2; CH4; N2O,Decreased,52855,2442602,1147853.071,1597900.336,1372876.703,1200707.071,1650754.336,1425730.703,1.000000409,,"(49.261226, -123.1139268)",49.25,-123.1,Canada,North America,600000,2016,,,,,,115,,45,11,83600000000,CAD     Canadian Dollar,,109.805,102,42659.97491,,,0.9,0.76,80.122,1,,28.4,1.16,1.17,2.8,157,30,8.80%,34,0.39,0.05,54%,72%,28,28,3,46,40,68,20,41,66,46,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Savannah,,2017,2381327,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,1228219,3609546,2235855.273,2309135.119,2272495.196,3464074.273,3537354.119,3500714.196,1,,"(32.0835, -81.0998)",32.017,-81.116667,USA,North America,146763,2016,,,,,,267.1574685,,15,19,15905000000,USD     US Dollar,,,15.905,,,,,,,,,19.7,0.97,0.86,2.51,,,,,,,,,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Jerusalem,,,2353555,tCO2-eq,2007,,,,,,,,,,,,,,31.7833,35.2167,Israel,"North Africa, Middle East, West Asia",882652,2016,,,,,,125.156,,,,,,,,34.51547786,,,,,,,,,,2.08,1.88,,,,,,,,,,96,78,54,153,97,134,123,103,116,113,,,,,
Jilin,,,2348914.711,tCO2,2010,,,,,,,,,,,,0.944832,,43.86666667,126.55,China,East Asia,1975121,,,,,,,3663.9,160,,,,,35685.57,,15,7591.093117,87.49164662,,1.01,0.99,42.522,0,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Shantou,,,2213793,tCO2,2010,,,,,,,,,,,,0.6,,23.35,116.6666667,China,East Asia,5389328,,,,,,,2248.39,,,,,,27836.15,0.0006,18,3376.477209,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,,,2196031,tCO2-eq,2010,,,,,,,,,,,,,,17.366,78.476,India,South Asia,6809970,2011,,,,,,650,,,,,,,58,16,2127659.574,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Amsterdam,,2016,2161000,tCO2,2016,CO2,Decreased,2310000,4471000,,,,,,,1,,"(52.370216, 4.895168)",52.367,4.9,Netherlands,Europe,810000,2016,,,,,,219,3392.694064,2,11.8,50047000000,EUR     Euro,,320.6,120.67123,49676.21663,74.51,,1.45,1.68,80.172,1,,37.5,1.8,2.15,1.8,215,27,9.20%,129,0.22,0.02,35%,52%,32,95,31,34,7,20,56,26,6,1,63420000000,81520000000,0.78,0.01365524,0.028739625
Bristol,,,2127000,tCO2-eq,2012,,,,,,,,,,,,,,51.45451,-2.58791,United Kingdom,Europe,454200,2017,,,,,,110,3733.636364,,,,,,47.659,34.55597,41853.70811,70.41764085,,1.65,1.44,79.007,1,,,1.99,1.92,,203,27,8.80%,- ,0.34,0.03,62%,67%,,,,,,,,,,,,,,,
Helsinki,,2016,2096206,tCO2-eq,2014,CO2; CH4; N2O,Decreased,2789724,4885930,1166677.773,1189218.476,1177948.125,3956401.773,3978942.476,3967672.125,1,,"(60.1733244, 24.9410248)",60.171,24.9375,Finland,Europe,629512,2016,,,,,,214.21,789.2241681,,5.9,,,,77.084,88,61884.66948,92.61386054,,1.39,1.57,82.905,1,,26.2,1.78,1.89,1.9,242,25,9.80%,- ,0.26,0.03,40%,48%,42,29,10,62,63,28,117,1,52,33,0,1,0,0.052871413,0.054185388
Nantes,,,2076210,tCO2-eq,2003,,,,,,,,,,,,,,47.2181,-1.5528,France,Europe,612782,2013,,,,,,537.7,,,,,,,32.014,32.9961,37081.60265,,,1.45,1.52,81.555,0,Large River,,1.63,1.79,,208,27,7.80%,- ,0.25,0.03,52%,51%,,,,,,,,,,,,,,,
Pittsburgh,,2016,2073556,tCO2-eq,2013,CO2; CH4; N2O,Decreased,2729490,4803046,1768276.481,1922057.814,1845167.147,4497766.481,4651547.814,4574657.147,1,,"(40.4406248, -79.9958864)",40.44,-79.976389,USA,North America,303625,2016,,,,,,143.4077463,,293,11.1,135662,USD     US Dollar,,138.429,116,49277.82498,,,,,,,,23.4,0.97,0.86,2.13,131,33,11.00%,146,0.19,0.01,30%,39%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Knoxville,,2016,2061435,tCO2-eq,2012,CO2; CH4; N2O,Decreased,1938439,3999874,1877409.881,1970110.591,1923760.236,3815848.881,3908549.591,3862199.236,1,,"(35.9606, -83.9207)",35.973,-83.942222,USA,North America,186239,2016,,,,,,255.1658148,,269,15.2,37487000000,USD     US Dollar,,38.347,31,44285.71429,,,,,,,,19.7,0.97,0.86,2.14,679,11,4.80%,188,0.1,0.03,16%,24%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Fort Collins,,,2055587,tCO2-eq,2016,,,,,,,,,,,,,,40.58526,-105.084,USA,North America,143986,2010,,,,,,147.77,342,,,,,,,,,124.5060546,,0.78,0.56,80.731,,,,0.97,0.86,2.48,,,,,,,,,,,,,,,,,,,,,,,
Yinchuan,,,2039692.105,tCO2,2010,,,,,,,,,,,,1.411156115,,38.46666667,106.2666667,China,East Asia,1290170,,,,,,,2045,630,,,,,46503.15,,9,6976.744186,148.5460333,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Rajkot,,,2019912,tCO2-eq,2015,,,,,,,,,,,,,,22.3039,70.80216,India,South Asia,1442975,2016,,,,,,170,,,,,,,,2.688919162,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Taian,,,2019794.067,tCO2,2010,,,,,,,,,,,,0.730166834,,36.2,117.0833333,China,East Asia,1735425,,,,,,,2086.8,,,,,,30480.28,,,,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Vilnius,,2016,1994560,tCO2-eq,2013,CO2; CH4; N2O; PFCs; HFCs,Decreased,,1994560,1329359.412,1656033.691,1492696.552,1329359.412,1656033.691,1492696.552,,,"(54.687156, 25.279651)",54.683,25.283333,Lithuania,Europe,542664,2015,,,,,,401,1381.546135,98,6.8,,,,,14,16489.98822,62.87,,1.22,1.13,66.635,0,,29.39,1.5,1.57,2.3,,,,- ,0.28,,48%,67%,83,7,105,64,99,88,135,38,106,72,0,1,0,0.022280955,0.043781838
Durham,,2016,1973070,tCO2-eq,2015,CO2; CH4; N2O,Decreased,2557399,4530469,1722603.265,1848773.237,1785688.251,4280002.265,4406172.237,4343087.251,1,,"(35.994, -78.8986)",35.989,-78.907222,USA,North America,263016,2016,,,,,,278.0872263,,,15,,,,36.966,43.484,,,,,,,,,21.7,0.97,0.86,2.35,778,10,3.70%,,,,,,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Wonju,,,1928493,tCO2-eq,2012,,,,,,,,,,,,,,37.3422186,127.9201621,South Korea,East Asia,310854,2010,,,,,,867.63,,,,,,,,5.905759903,,,,,,,,,,1.37,1.55,,,,,,,,,,,,,,,,,,,,,,,,
Xiangyang,,,1903957.452,tCO2,2010,,,,,,,,,,,,0.691752,,32.017,112.133,China,East Asia,2199689,,,,,,,3672.9,,,,,,29145.94,,,,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Stockholm,,2017,1834343,tCO2-eq,2015,CO2; CH4; N2O,Decreased,859099,2693442,937311.484,1000320.544,968816.0142,1796410.484,1859419.544,1827915.014,1,,"(59.3293235, 18.0685808)",59.329,18.068611,Sweden,Europe,901000,2016,,,,,,216,291.2985512,50,7,416797,,,142.953,143,71428.57143,70.40807367,,1.52,1.38,84.319,1,Marshland?,35,1.82,1.82,2.113268852,116,35,10.70%,92,0.28,-0.01,48%,61%,24,4,30,75,37,7,81,54,55,66,0,1,0,0.032253384,0.034690076
Ljubljana,,2017,1829808,tCO2-eq,2014,CO2; CH4; N2O,Decreased,904042,2733850,1689928.524,1711791.31,1700859.917,2593970.524,2615833.31,2604901.917,1,,"(46.056947, 14.505751)",46.056,14.508333,Slovenia,Europe,279756,2016,,,,,,163.8,1654.456654,,,8220687536,EUR     Euro,,,21.44869,36911.57718,105.87,,1.26,1.18,50.469,0,Mountains,26.08,1.68,1.78,2.3,339,21,9.00%,- ,0.16,,27%,39%,102,9,88,86,117,75,124,23,94,79,0,1,0,0.014619422,0.017327694
Zhanjiang,,,1770360.6,tCO2,2010,,,,,,,,,,,,0.69,,21.2,110.4,China,East Asia,1611868,,,,,,,1360,,,,,,38476.71,,12,8207.934337,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Semarang,,,1770297.41,tCO2-eq,2010,,,,,,,,,,,,,,-6.96667,109.417,Indonesia,Southeast Asia,1555984,2010,,,,,,373.78,,,,,,,,9,5784061.697,,,,,,,,,0.8,0.93,,143,32,15.20%,,,,,,,,,,,,,,,,,,,,
Canberra,,2016,1757500,tCO2-eq,2015,CO2; CH4; N2O; HFCs; SF6,Increased,2246400,4003900,1380253.943,1446214.246,1413234.094,3626653.943,3692614.246,3659634.094,1,,"(-35.3075, 149.1244)",-35.307,149.124417,Australia,Oceania,381488,2013,,,,,,814.2,,578,13.5,34866000000,AUD     Australian Dollar,,,,,,,,,,,,22,1.28,1.23,2.6,,,,- ,0.2,0.03,38%,32%,,,,,,,,,,,31610000000,62640000000,0.5,0.027793371,0.039682077
Betim,,,1716901,tCO2-eq,2013,,,,,,,,,,,,,,-19,-44,Brazil,Latin America & Caribbean,408448,2012,,,,,,342.85,,,,,,,,0.012559714,,,,,,,,,,1.02,1.27,,,,,,,,,,,,,,,,,,,,,,,,
Tuxtla Gutiérrez,,,1708489,tCO2-eq,2010,,,,,,,,,,,,,,16,-93,Mexico,Latin America & Caribbean,598710,2015,,,,,,412.4,,,,,,,,,,,,,,,,,,1.02,1.03,,,,,,,,,,,,,,,,,,,,,,,,
Zhaozhuang,,,1607492.69,tCO2,2010,,,,,,,,,,,,0.911088,,34.86666667,117.55,China,East Asia,2125481,,,,,,,3069,,,,,,33456.58,,11,5174.035748,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Nagpur,,,1534552.31,tCO2-eq,2007,,,,,,,,,,,,,,21.15,79.09,India,South Asia,2497870,2011,,,,,,227.36,,,,,,,,4.719820246,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Datong,,,1498970.423,tCO2,2010,,,,,,,,,,,,0.822655481,,40.08333333,113.3,China,East Asia,1737517,,,,,,,2080,,,,,,36137.7,,4,2301.495972,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Fushun,,,1495948.87,tCO2,2010,,,,,,,,,,,,0.976612,,41.86666667,123.9,China,East Asia,1410000,,,,,,,1416,,,,,,36060.07,,10,7524.454477,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond, VA",,2016,1470127,tCO2,2013,CO2,Decreased,1682371,3152498,,,,,,,1,,"(37.540725, -77.436048)",37.533,-77.466667,USA,North America,223170,2016,,,,,,154.9073019,,49,15,70491000000,,,71.589,68,53882.72583,,,,,,,,21.9,0.97,0.86,2.33,701,11,4.00%,184,0.11,0.01,17%,25%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Qiqihaer,,,1447990.443,tCO2,2010,,,,,,,,,,,,0.61190753,,47.35,123.9166667,China,East Asia,1481637,,,,,,,4039.3,,,,,,31794.22,,7,4504.504505,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Reno,,2017,1371400,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,1180239,2551639,1134734.076,1253952.035,1194343.056,2314973.076,2434191.035,2374582.056,1,,"(39.5296, -119.8138)",39.527,-119.821944,USA,North America,245255,2016,,,,,,266.7948699,,1373,10.4,10000000000,USD     US Dollar,,,20.554,,,,,,,,,19.4,0.97,0.86,2.47,691,11,4.00%,,,,,,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Santa Rosa,,,1358351,tCO2-eq,2010,,,,,,,,,,,,,,14.2843,121.088893,Philippines,Southeast Asia,353767,2015,,,,,,54.84,,,,,,,,,,,,,,,,,,0.82,1.05,,,,,,,,,,,,,,,,,,,,,,,,
Recife,,2017,1333830,tCO2-eq,2015,CO2; CH4; N2O,Decreased,371415,1705245,570118.4043,645607.5872,607862.9958,941533.4043,1017022.587,979277.9958,1,,"(-8.057838, -34.882897)",-8.05,-34.9,Brazil,Latin America & Caribbean,1555039,2012,,,,,,218,,4,26,10837028,,,40.483,36,9753.454348,,,,,,,,34.9,1.02,1.27,3.246695726,106,36,13.40%,43,0.37,-0.06,60%,65%,173,144,134,148,166,150,93,132,114,116,11700000000,17030000000,0.69,0.015120343,0.020419478
Huaibei,,,1322234.513,tCO2,2010,,,,,,,,,,,,1.18104,,33.58,116.47,China,East Asia,1113321,,,,,,,748.4,,,,,,44978.6,,5,4492.362983,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Dehradun,,,1316744,tCO2-eq,2008,,,,,,,,,,,,,,30.318,78.029,India,South Asia,578420,2011,,,,,,300,,,,,,,,0.878670829,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Florianópolis,,2016,1305206,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6,Increased,145259,1450465,1046811.702,1072352.724,1059582.213,1192070.702,1217611.724,1204841.213,1,,"(-27.5949884, -48.5481743)",-27.572,-48.6256,Brazil,Latin America & Caribbean,469690,2015,,,,,,675.409,,3,20,8787850000,USD     US Dollar,,,13,12845.8498,,,,,,,,,1.02,1.27,2.83390872,,,,,,,,,,,,,,,,,,,11700000000,17030000000,0.69,0.015120343,0.020419478
Msunduzi,,,1289214,tCO2-eq,2015,,,,,,,,,,,,,,-29.6179,30.3825,South Africa,Africa,618536,2011,,,,,,634,887.0236593,,,,,,,,,52,,0.95,0.87,59.256,0,Mountains,,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,
Athens,,2016,1260355,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,3451221,4711576,991456.4165,1011876.475,1001666.446,4442677.416,4463097.475,4452887.446,1,,"(37.98381, 23.727539)",37.984,23.727806,Greece,Europe,660000,2016,,,,,,39,8252.427184,208,17.5,19951634580,EUR     Euro,,129.623,117.88992,33292.63509,88.77,,1.41,1.23,60.316,1,,37.46,1.63,1.98,2.2,,,,41,0.37,0.01,58%,56%,115,99,95,67,39,46,95,160,98,25,0,1,0,0.013363883,0.014462132
"Arlington, VA",,2016,1257464,tCO2-eq,2015,CO2; CH4; N2O,Decreased,1223236,2480700,1041064.895,1150073.659,1095569.277,2264300.895,2373309.659,2318805.277,1,,"(37.226486, -76.002594)",38.881,-77.1372613,USA,North America,230050,2016,,,,,,67.2620403,,83,14.5,18871919000,USD     US Dollar,,,471.584,,,,,,,,,28.1,0.97,0.86,2.24,,,,,,,,,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Graz,,,1218740,tCO2-eq,1994,,,,,,,,,,,,,,47.0667,15.4333,Austria,Europe,280200,2016,,,,,,127.56,,,,,,,,135.28783,52806.99707,,,0.94,0.74,66.534,0,Mountains,,1.55,1.6,2,291,23,9.40%,- ,0.29,0.03,44%,45%,,,,,,,,,,,,,,,
Gwalior,,,1195239,tCO2-eq,2013,,,,,,,,,,,,,,26.21829,78.182831,India,South Asia,1069276,2011,,,,,,289,,,,,,,,,,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Zhangjiakou,,,1191132.57,tCO2,2010,,,,,,,,,,,,0.606961997,,40.76666667,114.8833333,China,East Asia,4345485,2010,,,,,,36861.56,,,,,,35681.25,,6,6024.096386,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Uppsala,,,1182401,tCO2-eq,2014,,,,,,,,,,,,,,59.85856,17.638927,Sweden,Europe,149245,2015,,,,,,48.77,2879,,,,,,,,,90.13146398,,1.52,1.38,84.319,0,,,1.82,1.82,,,,,- ,0.26,0.03,34%,44%,,,,,,,,,,,,,,,
